plant_common_name,plant_family,plant_scientific_name
Gaspé Serviceberry,Rosaceae,Amelanchier sanguinea (Pursh) DC. var. gaspensis Wiegand
Eastwoodia,Asteraceae,Eastwoodia Brandegee
Carolina Arrowwood,Caprifoliaceae,Viburnum carolinianum Ashe
Holm's Ragwort,Asteraceae,Senecio amplectens A. Gray var. holmii (Greene) Harrington
Campylopus Moss,Dicranaceae,Campylopus atrovirens De Not. var. cucullatifolius J.-P. Frahm
Neisosperma,Apocynaceae,Neisosperma Raf.
Cienega Seca Oxytheca,Polygonaceae,Oxytheca parishii Parry var. cienegensis Ertter
Brownspine Hedgehog Cactus,Cactaceae,Echinocereus russanthus D. Weniger
‘ilima,Malvaceae,Sida cordifolia L.
Puerto Rico Palo De Gallina,Euphorbiaceae,Alchorneopsis portoricensis Urb.
Ruggedleaf Schlotheimia Moss,Orthotrichaceae,Schlotheimia rugifolia (Hook.) Schwägr.
Eastwood's Manzanita,Ericaceae,Arctostaphylos glandulosa Eastw. ssp. glandulosa
Bahama Nightshade,Solanaceae,Solanum bahamense L.
Fragile Tortula Moss,Pottiaceae,Tortula fragilis Taylor
Franklin's Sandwort,Caryophyllaceae,Arenaria franklinii Douglas ex Hook.
Drug Snowbell,Styracaceae,Styrax redivivus (Torr.) L.C. Wheeler
Wild Einkorn,Poaceae,Triticum boeoticum Boiss.
Matchwood,Araliaceae,"Schefflera morototonii (Aubl.) Maguire, Steyerm. & Frodin"
Curlyleaf Muhly,Poaceae,Muhlenbergia setifolia Vasey
Indian Flatsedge,Cyperaceae,Cyperus nanus Willd.
Shredding Suncup,Onagraceae,Camissonia boothii (Douglas ex Lehm.) P.H. Raven ssp. decorticans (Hook. & Arn.) P.H. Raven
Flyr's Brickellbush,Asteraceae,Brickellia cordifolia Elliott
Mojave Lupine,Fabaceae,Lupinus odoratus A. Heller var. pilosellus C.P. Sm.
Markingnut Tree,Anacardiaceae,Semecarpus anacardium L. f.
Largeflower Tickseed,Asteraceae,Coreopsis grandiflora Hogg ex Sweet var. grandiflora
Mono Clover,Fabaceae,Trifolium andersonii A. Gray ssp. monoense (Greene) J.M. Gillett
Dwarf Spikerush,Cyperaceae,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer"
Harlequin Dancing-lady Orchid,Orchidaceae,Tolumnia variegata (Sw.) G.J. Braem
Euryops,Asteraceae,Euryops (Cass.) Cass.
Drooping She-oak,Casuarinaceae,Allocasuarina verticillata (Lam.) L.A.S. Johnson
Asiatic Tearthumb,Polygonaceae,Polygonum perfoliatum L.
Kihifern,Grammitidaceae,Adenophorus Gaudich.
Golden Tiara Clematis,Ranunculaceae,Clematis tangutica (Maxim.) Korsh.
Costus,Costaceae,Costus L.
Natal Bottlebrush,Greyiaceae,Greyia radlkoferi Szyszyl.
Onyx Peak Bedstraw,Rubiaceae,Galium angustifolium Nutt. ex A. Gray ssp. onycense (Dempster) Dempster & Stebbins
Jojoba,Simmondsiaceae,Simmondsia chinensis (Link) C.K. Schneid.
Mt. Hamilton Mock Stonecrop,Crassulaceae,Sedella pentandra H. Sharsm.
Fruit Rockcress,Brassicaceae,Arabis fructicosa A. Nelson
Small Pondweed,Potamogetonaceae,Potamogeton pusillus L. ssp. pusillus
Tracy's Pea,Fabaceae,Lathyrus lanszwertii Kellogg var. tracyi (Bradshaw) Isely
Earleaf Fanpetals,Malvaceae,Sida tragiifolia A. Gray
False Russell's Fishscale Lichen,Psoraceae,Psora pseudorussellii Timdal
Giant Sequoia,Cupressaceae,Sequoiadendron J. Buchholz
Reindeer Lichen,Cladoniaceae,Cladina submitis (A. Evans) Hale & W.L. Culb.
Baby Blue Eyes,Hydrophyllaceae,Nemophila menziesii Hook. & Arn. var. menziesii
Mountain Phacelia,Hydrophyllaceae,Phacelia orogenes Brand
Skirret,Apiaceae,Sium sisarum L.
Melanelia Lichen,Parmeliaceae,Melanelia panniformis (Nyl.) Essl.
Pygmy Bluet,Rubiaceae,Houstonia wrightii A. Gray
Nichol's Hedgehog Cactus,Cactaceae,Echinocereus nicholii (L.D. Benson) Parfitt
Bristly Lovegrass,Poaceae,Cladoraphis Franch.
Panama Hat Plant,Cyclanthaceae,Carludovica palmata Ruiz & Pav.
Diamondleaf Lacefern,Dryopteridaceae,Ctenitis hirta (Sw.) Ching var. portoricana (C. Chr.) Proctor
Showy Skullcap,Lamiaceae,Scutellaria serrata Andrews
Scaly Dwarf Polypody,Grammitidaceae,Grammitis cultrata (Willd.) Proctor
Arizona Signalgrass,Poaceae,Urochloa arizonica (Scribn. & Merr.) O. Morrone & F. Zuloaga
Queen Anne's Lace,Apiaceae,Daucus carota L.
Broadleaf Speedwell,Scrophulariaceae,Veronica austriaca L. ssp. teucrium (L.) D.A. Webb
Palomar Monkeyflower,Scrophulariaceae,Mimulus diffusus A.L. Grant
Lesser Yellow Lady's Slipper,Orchidaceae,Cypripedium parviflorum Salisb.
Sandwort Orange Lichen,Teloschistaceae,Caloplaca arenaria (Pers.) Müll. Arg.
Myelochroa Lichen,Parmeliaceae,Myelochroa metarevoluta (Asah.) Elix & Hale
Longleaf Cologania,Fabaceae,Cologania angustifolia Kunth
Lung Lichen,Lobariaceae,Lobaria retigera (Bory) Trevis.
Sclerophyton Lichen,Opegraphaceae,Sclerophyton inscriptum (Nyl.) Müll. Arg.
Purple Bittercress,Brassicaceae,Cardamine purpurea Cham. & Schltdl.
Intermediate Cliffbrake,Pteridaceae,Pellaea intermedia Mett. ex Kuhn
Forest Tetramolopium,Asteraceae,Tetramolopium consanguineum (A. Gray) Hillebr. ssp. leptophyllum (Sherff) Lowrey var. leptophyllum Sherff
Sanborn's Onion,Liliaceae,Allium sanbornii Alph. Wood
Roughleaf Aster,Asteraceae,Eurybia radulina (A. Gray) G.L. Nesom
Gray Alder,Betulaceae,Alnus incana (L.) Moench ssp. incana (L.) Moench [excluded]
Fall Tansyaster,Asteraceae,Machaeranthera asteroides (Torr.) Greene
Star Tickseed,Asteraceae,Coreopsis pubescens Elliott var. debilis (Sherff) E.B. Sm.
Stephen's Stork's Bill,Geraniaceae,Erodium stephenianum Willd.
Vahl's Speedwell,Scrophulariaceae,Veronica austriaca L. ssp. vahlii (Gaudin) D.A. Webb
Smoothstem Blazingstar,Loasaceae,Mentzelia laevicaulis (Hook.) Torr. & A. Gray var. parviflora (Douglas ex Hook.) C.L. Hitchc.
Barren Ground Willow,Salicaceae,Salix nummularia Andersson
Ruby Chalice Clarkia,Onagraceae,Clarkia rubicunda (Lindl.) F.H. Lewis & M.E. Lewis
Cartilage Lichen,Ramalinaceae,Ramalina subamplicata (Nyl.) Fink
Azadirachta,Meliaceae,Azadirachta A. Juss.
Florida Lecidea Lichen,Lecideaceae,Lecidea floridensis Nyl.
Santa Clara Thorn-mint,Lamiaceae,Acanthomintha lanceolata Curran
Needleleaf Navarretia,Polemoniaceae,Navarretia intertexta (Benth.) Hook. ssp. intertexta
Stretchberry,Oleaceae,Forestiera pubescens Nutt. var. pubescens
Spoonshape Barbara's Buttons,Asteraceae,Marshallia obovata (Walter) Beadle & F.E. Boynt. var. scaposa Channell
Canadian White Violet,Violaceae,Viola canadensis L. var. scariosa Porter ex Britton
Candle Snuffer Moss,Encalyptaceae,Encalypta mutica I. Hagen
Lacy Thistle,Asteraceae,Cirsium modestum (Osterh.) Cockerell
Common Brassbuttons,Asteraceae,Cotula coronopifolia L.
Bitter Orange,Rutaceae,Citrus limetta Risso
Hairy Brackenfern,Dennstaedtiaceae,Pteridium aquilinum (L.) Kuhn var. pubescens Underw.
Coastalcreeper,Chenopodiaceae,Aphanisma Nutt. ex Moq.
Fiddleleaf Hawksbeard,Asteraceae,Crepis runcinata (James) Torr. & A. Gray ssp. imbricata Babc. & Stebbins
Subterranean Indian Breadroot,Fabaceae,Pediomelum hypogaeum (Nutt. ex Torr. & A. Gray) Rydb.
Sandbar Milkvetch,Fabaceae,Astragalus endopterus (Barneby) Barneby
Best's Hygrohypnum Moss,Amblystegiaceae,Hygrohypnum bestii (Renauld & Bryhn) Broth.
Frosted Lichen,Physciaceae,Physconia Poelt
Redflower Buckwheat,Polygonaceae,Eriogonum grande Greene var. rubescens (Greene) Munz
Twayblade,Orchidaceae,Listera R. Br.
Pine Lily,Liliaceae,Lilium catesbaei Walter
Variegated Orange Lichen,Teloschistaceae,Caloplaca albovariegata (de Lesd.) Wetmore
Canyon Schiedea,Caryophyllaceae,Schiedea spergulina A. Gray
Heartleaf Skullcap,Lamiaceae,Scutellaria ovata Hill ssp. ovata
Florida Slash Pine,Pinaceae,Pinus elliottii Engelm. var. densa Little & Dorman
Tucker's Anisomeridium Lichen,Monoblastiaceae,Anisomeridium tuckerae R.C. Harris
Minute Duckweed,Lemnaceae,Lemna perpusilla Torr.
Australian Windmill Grass,Poaceae,Chloris ventricosa R. Br.
Brown Mustard,Brassicaceae,Brassica juncea (L.) Czern.
Striped Garlic,Liliaceae,Allium cuthbertii Small
Torrey's Craglily,Liliaceae,Echeandia flavescens (Schult. & Schult. f.) Cruden
Shaddock,Rutaceae,Citrus maxima (Burm. f.) Merr.
Cassipourea,Rhizophoraceae,Cassipourea Aubl.
Thread Rush,Juncaceae,Juncus filiformis L.
Brandegee's Penstemon,Scrophulariaceae,Penstemon glaber Pursh var. brandegeei (Porter) Freeman
Orange Azalea,Ericaceae,Rhododendron austrinum (Small) Rehder
Fourpetal St. Johnswort,Clusiaceae,Hypericum tetrapetalum Lam.
Winged Panicgrass,Poaceae,Panicum alatum F. Zuloaga & O. Morrone var. alatum
Broccoli,Brassicaceae,Brassica oleracea L. var. botrytis L.
Longbract Wild Indigo,Fabaceae,Baptisia bracteata Muhl. ex Elliott var. bracteata
Seaside Dock,Polygonaceae,Rumex pallidus Bigelow
Star Tickseed,Asteraceae,Coreopsis pubescens Elliott
Smallhead Rush,Juncaceae,Juncus brachycephalus (Engelm.) Buchenau
Brachymenium Moss,Bryaceae,Brachymenium speciosum (Hook. f. & Wilson) Steere
Mexican Lovegrass,Poaceae,Eragrostis mexicana (Hornem.) Link ssp. mexicana
Lemon Thyme,Lamiaceae,Thymus pulegioides L.
Engelmann's Hedgehog Cactus,Cactaceae,Echinocereus engelmannii (Parry ex Engelm.) Lem.
Freckled Milkvetch,Fabaceae,Astragalus lentiginosus Douglas ex Hook. var. micans Barneby
Lavafield False Ohelo,Thymelaeaceae,Wikstroemia hanalei Wawra
Hardy Swamplily,Liliaceae,Crinum bulbispermum (Burm. f.) Milne-Redhead & Schweickerdt
Cajeput,Myrtaceae,Melaleuca cajuputi Powell
Silvery Lupine,Fabaceae,Lupinus argenteus Pursh ssp. argenteus
Passionflower,Passifloraceae,Passiflora alata Dryand.
Sack Saltbush,Chenopodiaceae,Atriplex saccaria S. Watson
Southern Blue Monkshood,Ranunculaceae,Aconitum uncinatum L.
Princesstree,Scrophulariaceae,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.
Spring Biatora Lichen,Bacidiaceae,Biatora vernalis (L.) Fr.
Sedge,Cyperaceae,Carex ×subpaleacea J. Cay.
Chaparral Dodder,Cuscutaceae,Cuscuta californica Hook. & Arn.
Spotted Beebalm,Lamiaceae,Monarda fruticulosa Epling
Candytuft,Brassicaceae,Iberis L.
Lambstongue Ragwort,Asteraceae,Senecio integerrimus Nutt. var. major (A. Gray) Cronquist
Lacy Maiden Fern,Thelypteridaceae,Thelypteris cyatheoides (Kaulf.) Fosberg
Button Brittlebush,Asteraceae,Encelia frutescens (A. Gray) A. Gray
Pistachio Nut,Anacardiaceae,Pistacia vera L.
Emory's Milkweed,Asclepiadaceae,Asclepias emoryi (Greene) Vail
Waioli Valley Rollandia,Campanulaceae,"Cyanea parvifolia (Forbes) Lammers, Givnish & Systma"
California Xanthoparmelia Lichen,Parmeliaceae,Xanthoparmelia californica Hale
Divergent Buckwheat,Polygonaceae,Eriogonum divaricatum Hook.
Broadleaf Lupine,Fabaceae,Lupinus latifolius Lindl. ex J. Agardh ssp. leucanthus (Rydb.) Kenney & D. Dunn
Yellow Loosestrife,Primulaceae,Lysimachia ×radfordii H.E. Ahles
California Stork's Bill,Geraniaceae,Erodium macrophyllum Hook. & Arn. var. californicum (Greene) Jeps.
Carpet Phlox,Polemoniaceae,Phlox hoodii Richardson ssp. canescens (Torr. & A. Gray) Wherry
Prairie Indian Paintbrush,Scrophulariaceae,Castilleja purpurea (Nutt.) G. Don var. citrina (Pennell) Shinners
Golden Crownbeard,Asteraceae,Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray ssp. exauriculata (B.L. Rob. & Greenm.) J.R. Coleman
Basindaisy,Asteraceae,Platyschkuhria integrifolia (A. Gray) Rydb.
Lemon Beebalm,Lamiaceae,Monarda citriodora Cerv. ex Lag. ssp. austromontana (Epling) Scora
Pygmy Cudweed,Asteraceae,Evax Gaertn.
Ilang-ilang,Annonaceae,Cananga (DC.) Hook. f. & Thomson
Three Toothed Saxifrage,Saxifragaceae,Saxifraga tricuspidata Rottb.
Blemished Lichen,Phlyctidaceae,Phlyctis speirea G. Merr.
Rim Lichen,Lecanoraceae,Lecanora intumescens (Rebent.) Rabenh.
Dwarf Rose,Rosaceae,Rosa gymnocarpa Nutt. var. gymnocarpa
Japanese Snowball,Caprifoliaceae,Viburnum plicatum Thunb.
Alverjilla,Fabaceae,Adesmia bicolor (Poir.) DC.
Popcornflower,Boraginaceae,Plagiobothrys Fisch. & C.A. Mey.
Drummond's Goldenbush,Asteraceae,Isocoma drummondii (Torr. & A. Gray) Greene
Hiddenpetal Indian Mallow,Malvaceae,Abutilon eremitopetalum Caum
Northern Dewberry,Rosaceae,Rubus flagellaris Willd.
Bayrumtree,Myrtaceae,Pimenta racemosa (Mill.) J.W. Moore var. racemosa
Calophyllum,Clusiaceae,Calophyllum L.
Ruby Saltbush,Chenopodiaceae,Enchylaena tomentosa R. Br.
Gray's Cloak Fern,Pteridaceae,Notholaena grayi Davenport ssp. grayi
Brassavola,Orchidaceae,Brassavola R. Br.
Wart Lichen,Verrucariaceae,Verrucaria subglaucina de Lesd.
Ornate Anzia Lichen,Parmeliaceae,Anzia ornata (Zahlbr.) Asah.
Peace Lily,Araceae,Spathiphyllum wallisii Regel
Bush Nightfighter,Agavaceae,Dracaena steudneri Schweinf. ex Engl.
Spurry Buckwheat,Polygonaceae,Eriogonum spergulinum A. Gray
Oreas Moss,Dicranaceae,Oreas Brid.
Desertparsley,Apiaceae,Lomatium Raf.
Diamond Maidenhair,Pteridaceae,Adiantum trapeziforme L.
Snow Willow,Salicaceae,Salix nivalis Hook.
Bear Garlic,Liliaceae,Allium ursinum L.
Tranquil Goldenweed,Asteraceae,Pyrrocoma clementis Rydb. var. villosa (Rydb.) Mayes ex G. Brown & Keil
Bryum Moss,Bryaceae,Bryum capillare Hedw. var. barbatum (C.E.O. Jensen) Podp.
Dense Blazing Star,Asteraceae,Liatris spicata (L.) Willd.
Olympic Brachydontium Moss,Seligeriaceae,Brachydontium olympicum (E. Britton) T.T. McIntosh & J.R. Spence
Yosemite Rockcress,Brassicaceae,Arabis repanda S. Watson var. repanda
Lindheimer's Indian Paintbrush,Scrophulariaceae,Castilleja purpurea (Nutt.) G. Don var. lindheimeri (A. Gray) Shinners
Peach Thorn,Solanaceae,Lycium cooperi A. Gray
San Jacinto Bluecurls,Lamiaceae,Trichostema austromontanum F.H. Lewis ssp. compactum F.H. Lewis
Carolina Foxtail,Poaceae,Alopecurus carolinianus Walter
Coulter's Goldfields,Asteraceae,Lasthenia glabrata Lindl. ssp. coulteri (A. Gray) Ornduff
Speerschneidera Lichen,Bacidiaceae,Speerschneidera Trevis.
White Checkerbloom,Malvaceae,Sidalcea candida A. Gray
Splashzone Moss,Scouleriaceae,Scouleria Hook.
Moss Phlox,Polemoniaceae,Phlox subulata L. ssp. subulata
Lucky False Bindweed,Convolvulaceae,Calystegia felix Provance & A.C. Sanders
Pseudophoenix,Arecaceae,Pseudophoenix H. Wendl. ex Sarg.
Sloe,Rhamnaceae,Reynosia uncinata Urb.
Asian Brake,Pteridaceae,Pteris mutilata L.
Heermann's Bird's-foot Trefoil,Fabaceae,Lotus heermannii (Durand & Hilg.) Greene var. heermannii
Longlobe Four O'clock,Nyctaginaceae,Mirabilis tenuiloba S. Watson
Corynocarpus,Corynocarpaceae,Corynocarpus J.R. Forst. & G. Forst.
Tomasellia Lichen,Arthopyreniaceae,"Tomasellia difforme (Minks) ?, ined.?"
Goldenwave Tickseed,Asteraceae,Coreopsis intermedia Sherff
Nettlespurge,Euphorbiaceae,Jatropha L.
Soft Aster,Asteraceae,Symphyotrichum molle (Rydb.) G.L. Nesom
Blazingstar,Loasaceae,Mentzelia L.
Mexican Windmill Grass,Poaceae,Chloris submutica Kunth
Grandleaf Rhizomnium Moss,Mniaceae,Rhizomnium magnifolium (Horik.) T. Kop.
Desert Dodder,Cuscutaceae,Cuscuta denticulata Engelm. var. denticulata
Moth Combseed,Boraginaceae,Pectocarya setosa A. Gray
Spotless Watermeal,Lemnaceae,Wolffia arrhiza (L.) Horkel ex Wimm.
Willow,Salicaceae,Salix bicolor Fr.
Silktassel,Garryaceae,Garrya Douglas ex Lindl.
Foothill Fleabane,Asteraceae,Erigeron consimilis Cronquist
Hollyleaf Gilia,Polemoniaceae,Gilia latiflora (A. Gray) A. Gray ssp. latiflora
Shade Mudflower,Scrophulariaceae,Micranthemum umbrosum (J.F. Gmel.) S.F. Blake
Anadyr Draba,Brassicaceae,Draba stenopetala Trautv.
Cliff Desertdandelion,Asteraceae,Malacothrix saxatilis (Nutt.) Torr. & A. Gray var. implicata (Eastw.) H.M. Hall
Spiked Bur Grass,Poaceae,Tragus berteronianus Schult.
Leechbush,Loranthaceae,Dendropemon (Blume) Schult. & Schult. f.
Houghton's Sedge,Cyperaceae,Carex houghtoniana Torr. ex Dewey
Indian Cucumber,Liliaceae,Medeola L.
Yukon Fringed Gentian,Gentianaceae,Gentianopsis detonsa (Rottb.) Ma ssp. yukonensis (J.M. Gillett) J.M. Gillett
Cooper's Dogweed,Asteraceae,Adenophyllum cooperi (A. Gray) Strother
Kern Larkspur,Ranunculaceae,Delphinium hansenii (Greene) Greene ssp. kernense (Davidson) Ewan
Gloxinia,Gesneriaceae,Gloxinia L'Hér.
Catnip,Lamiaceae,Nepeta camphorata Boiss. & Heldr.
Sharp's Leptohymenium Moss,Hylocomiaceae,Leptohymenium sharpii (H.A. Crum & L.E. Anderson) W.R. Buck & H.A. Crum
Tundra Woodrush,Juncaceae,Luzula kjellmaniana Miyabe & Kudo
Rimmed Lichen,Hymeneliaceae,Aspicilia laxula (H. Magn.) Brodo
Durango Root,Datiscaceae,Datisca glomerata (C. Presl) Baill.
Red Silk Cottontree,Bombacaceae,Bombax ceiba L.
Pammell's Dotted Lichen,Bacidiaceae,Bacidia pammellii (Fink) Zahlbr.
Hairy Grey Heather,Ericaceae,Erica canaliculata Andrews
Sacramento Ragwort,Asteraceae,Senecio sacramentanus Wooton & Standl.
Painted Milkvetch,Fabaceae,Astragalus ceramicus Sheldon var. apus Barneby
Scarlet Gilia,Polemoniaceae,Ipomopsis aggregata (Pursh) V.E. Grant ssp. candida (Rydb.) V.E. Grant & A.D. Grant
Pussytoes Eggyolk Lichen,Candelariaceae,Candelariella antennaria Rasanen
Lacy Germander,Lamiaceae,Teucrium laciniatum Torr.
Bigelow's False Willow,Asteraceae,Baccharis bigelovii A. Gray
Hairy Cornsalad,Valerianaceae,Valerianella amarella (Lindh. ex Engelm.) Krok
Creeping Jenny,Primulaceae,Lysimachia nummularia L.
Longrunner,Brassicaceae,Rorippa sarmentosa (G. Forst. ex DC.) J.F. Macbr.
Na'ena'e Pua Melemele,Asteraceae,Dubautia laxa Hook. & Arn.
Parry's Milkvetch,Fabaceae,Astragalus parryi A. Gray
Diamondleaf Lacefern,Dryopteridaceae,Ctenitis hirta (Sw.) Ching
Bartramiopsis Moss,Polytrichaceae,Bartramiopsis Kindb.
Olive,Burseraceae,Canarium L.
Hairy Schiedea,Caryophyllaceae,Schiedea pentamera W.L. Wagner & E. Harris
White Panicle Aster,Asteraceae,Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum var. latifolium (Semple & Chmielewski) G.L. Nesom
Sadleria,Blechnaceae,Sadleria Kaulf.
Lakeshore Bulrush,Cyperaceae,Schoenoplectus lacustris (L.) Palla
Pacific Bleeding Heart,Fumariaceae,Dicentra formosa (Haw.) Walp.
Peck's Beardtongue,Scrophulariaceae,Penstemon peckii Pennell
Coastal Plain Dawnflower,Convolvulaceae,Stylisma patens (Desr.) Myint ssp. patens
Zarzabacoa Peluda,Fabaceae,Desmodium barbatum (L.) Benth.
Whiskerbrush,Polemoniaceae,Leptosiphon ciliatus (Benth.) Jeps. ssp. ciliatus
Graceful Buckwheat,Polygonaceae,Eriogonum verrucosum Reveal
Richardson's Sedge,Cyperaceae,Carex richardsonii R. Br.
Manystem Liveforever,Crassulaceae,Dudleya multicaulis (Rose) Moran
Bellybutton Veinfern,Dryopteridaceae,Phanerophlebia umbonata Underw.
Birdflower,Fabaceae,Crotalaria cunninghamii R. Br.
Saltmeadow Plantain,Plantaginaceae,Plantago argyrea Morris
Pumice Alpinegold,Asteraceae,Hulsea vestita A. Gray ssp. vestita
Cedro Macho,Euphorbiaceae,Hyeronima clusioides (Tul.) Griseb.
Greasebush,Crossosomataceae,Glossopetalon A. Gray
Sun Sedge,Cyperaceae,Carex inops L.H. Bailey ssp. heliophila (Mack.) Crins
Pygmy Fringetree,Oleaceae,Chionanthus pygmaeus Small
Jelly Lichen,Collemataceae,Collema nigrescens (Huds.) DC.
Broadleaf Caper,Capparaceae,Capparis hastata Jacq.
Bayrumtree,Myrtaceae,Pimenta racemosa (Mill.) J.W. Moore var. grisea (Kiaersk.) Fosberg
Prairienymph,Iridaceae,Herbertia lahue (Molina) Goldblatt
Bent Sedge,Cyperaceae,Carex styloflexa Buckley
Slimflower Scurfpea,Fabaceae,Psoralidium tenuiflorum (Pursh) Rydb.
Sonoran Maiden Fern,Thelypteridaceae,Thelypteris puberula (Baker) Morton var. sonorensis A.R. Sm.
Ashe's Sumac,Anacardiaceae,"Rhus ×ashei (Small) Greene (pro sp.), database artifact"
Red Mulberry,Moraceae,Morus rubra L. var. rubra
Thymeleaf Loosestrife,Lythraceae,Lythrum thymifolia L.
Queen Of The Meadow,Rosaceae,Filipendula ulmaria (L.) Maxim. ssp. denudata (J. Presl & C. Presl) Hayek
Oriental Knight's-spur,Ranunculaceae,Consolida orientalis (J. Gay) Schroedinger
Velvet Tree,Melastomataceae,Miconia calvescens DC.
Creeping Saxifrage,Saxifragaceae,Saxifraga stolonifera Meerb.
Naked Catchfly,Caryophyllaceae,Silene aperta Greene
Bluntleaved Orchid,Orchidaceae,Platanthera obtusata (Banks ex Pursh) Lindl. ssp. oligantha (Turcz.) Hultén
Three-hulled Rush,Juncaceae,Juncus triglumis L.
Oppositeleaf Maiden Fern,Thelypteridaceae,Thelypteris opposita (Vahl) Ching
Sitka Mistmaiden,Hydrophyllaceae,Romanzoffia sitchensis Bong.
Roundlobe Hepatica,Ranunculaceae,Hepatica nobilis Schreb. var. obtusa (Pursh) Steyerm.
Goetzea,Solanaceae,Goetzea Wydler
Yellow Mountainheath,Ericaceae,Phyllodoce glanduliflora (Hook.) Coville
Oncophorus Moss,Dicranaceae,Oncophorus virens (Hedw.) Brid.
Fivepetal Cliffbush,Hydrangeaceae,Jamesia americana Torr. & A. Gray var. americana
Black Hills Meadow-rue,Ranunculaceae,Thalictrum nigromontanum B. Boivin
Pulvinate Schistidium Moss,Grimmiaceae,Schistidium pulvinatum (Hedw.) Brid.
Norwegian Angelica,Apiaceae,Angelica archangelica L.
Fescue,Poaceae,Festuca ×villosa-vivipara (Rosenv.) E.B. Alexeev
Coast Range False Bindweed,Convolvulaceae,Calystegia collina (Greene) Brummitt ssp. collina
Obolaria,Gentianaceae,Obolaria L.
Flowering Flax,Linaceae,Linum grandiflorum Desf.
Redroot Cryptantha,Boraginaceae,Cryptantha micrantha (Torr.) I.M. Johnst. var. lepida (A. Gray) I.M. Johnst.
Featherweed,Asteraceae,Gamochaeta ustulata (Nutt.) G.L. Nesom
Rinodina Lichen,Physciaceae,Rinodina hyperborea H. Magn.
Protoblastenia Lichen,Psoraceae,Protoblastenia calva (Dicks.) Zahlbr.
Rimelia Lichen,Parmeliaceae,Rimelia simulans (Hale) Hale & Fletcher
Low Sphagnum,Sphagnaceae,Sphagnum compactum DC.
Jelly Lichen,Collemataceae,Collema curtisporum Degel.
Eastern Poison Ivy,Anacardiaceae,Toxicodendron radicans (L.) Kuntze ssp. divaricatum (Greene) Gillis
Kinnickinnick Dewberry,Rosaceae,Rubus multifer L.H. Bailey
Mosquito Bulrush,Cyperaceae,Scirpus hattorianus Makino
Kokrines Locoweed,Fabaceae,Oxytropis kokrinensis A.E. Porsild
Mexican Primrose-willow,Onagraceae,Ludwigia octovalvis (Jacq.) P.H. Raven
Rush Hairsedge,Cyperaceae,Bulbostylis juncoides (Vahl) Kük.
Myrin's Aspicilia,Hymeneliaceae,Aspicilia myrinii (Fr.) Stein
Arizona Poppy,Zygophyllaceae,Kallstroemia grandiflora Torr. ex A. Gray
Brouard's Rinodina Lichen,Physciaceae,Rinodina brouardii de Lesd.
Cartilage Lichen,Ramalinaceae,Ramalina fastigiata (Pers.) Ach.
Coco Yam,Araceae,Colocasia esculenta (L.) Schott var. aquatilis Hassk.
Roseflower Stonecrop,Crassulaceae,Sedum laxum (Britton) A. Berger
Donnell's Archidium Moss,Archidiaceae,Archidium donnellii Austin
